event_type,user_id,channel_id,guild_id,event_time,content_length,has_embed,has_attachment,is_interaction_command
message_sent,785846971906785301,884654932060409856,719180744311701505,2025-10-18T11:27:32.781000+00:00,13,False,False,False
message_sent,1100671024787361802,884654932060409856,719180744311701505,2025-10-18T13:32:21.898000+00:00,0,False,True,False
message_sent,708633567931924531,884654932060409856,719180744311701505,2025-10-18T16:49:45.259000+00:00,65,False,False,False
message_sent,512448218886569985,884654932060409856,719180744311701505,2025-10-18T16:53:34.751000+00:00,1,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:01:59.434000+00:00,7,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:02:04.076000+00:00,16,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:02:47.725000+00:00,14,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:03:06.613000+00:00,31,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:03:44.073000+00:00,30,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:04:00.915000+00:00,18,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:04:11.731000+00:00,6,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:04:21.747000+00:00,31,False,False,False
message_sent,734802721600962570,884654932060409856,719180744311701505,2025-10-18T18:05:02.978000+00:00,66,False,False,False
message_sent,763907159712727061,884654932060409856,719180744311701505,2025-10-18T21:57:17.398000+00:00,25,False,False,False
message_sent,1260479346099879946,884654932060409856,719180744311701505,2025-10-19T02:14:51.173000+00:00,5,False,False,False
message_sent,1260479346099879946,884654932060409856,719180744311701505,2025-10-19T02:14:56.215000+00:00,20,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T03:58:41.745000+00:00,22,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T03:58:44.958000+00:00,24,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T03:58:56.803000+00:00,32,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:05:47.199000+00:00,28,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:06:25.580000+00:00,27,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:07:26.611000+00:00,55,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:08:54.386000+00:00,44,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:09:01.349000+00:00,33,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:10:14.732000+00:00,20,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:11:07.049000+00:00,28,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:22:54.966000+00:00,27,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:24:01.528000+00:00,42,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:24:06.658000+00:00,32,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:24:09.013000+00:00,0,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:29:30.033000+00:00,73,False,True,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:30:24.414000+00:00,7,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T04:30:39.213000+00:00,1,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T04:31:05.732000+00:00,42,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:14:59.770000+00:00,46,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:15:04.747000+00:00,30,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:25:30.071000+00:00,3,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:25:43.729000+00:00,9,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:26:03.356000+00:00,18,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:26:22.302000+00:00,57,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:26:34.701000+00:00,8,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:26:36.761000+00:00,44,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:26:44.471000+00:00,4,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:26:56.353000+00:00,23,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:06.263000+00:00,31,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:06.330000+00:00,31,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:22.267000+00:00,48,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:28.223000+00:00,2,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:28.662000+00:00,3,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:29.022000+00:00,2,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:29.692000+00:00,2,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:30.402000+00:00,3,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:42.843000+00:00,2,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:43.730000+00:00,3,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:45.035000+00:00,6,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:27:46.544000+00:00,7,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:48.013000+00:00,4,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:48.354000+00:00,1,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:48.946000+00:00,4,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:50.697000+00:00,2,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:27:51.582000+00:00,5,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:28:21.405000+00:00,3,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:28:24.612000+00:00,7,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:28:39.721000+00:00,15,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:28:43.456000+00:00,9,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:28:53.450000+00:00,35,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:28:59.320000+00:00,26,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:29:10.864000+00:00,32,False,False,False
message_sent,958389812681908276,884654932060409856,719180744311701505,2025-10-19T05:29:12.140000+00:00,4,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:29:15.308000+00:00,12,False,False,False
message_sent,677020564740767754,884654932060409856,719180744311701505,2025-10-19T05:29:20.136000+00:00,15,False,False,False
